name,id
DMS Acatempa,2262216130
DMS Acatenango,207411147
DMS Agua Blanca,2262204118
DMS Aguacatan,2161327285
DMS Alontenago,206314135
DMS Amatitlan,20411419
DMS Amparo ,27810130
DMS Antigua Guatemala,206301132
DMS Asuncion Mita,2262205119
DMS Atescatempa,2262207121
DMS Barberena,209602101
DMS Barillas,2161326284
DMS Bethania ,27810128
DMS Boca Del Monte,20411624
DMS Cabañas,223190784
DMS Cabrican,212906194
DMS Cahabon,220161255
DMS Cajola,212907195
DMS Camotan,224200593
DMS Campur,220160951
DMS Canilla,2171418311
DMS Cantel,212914201
DMS Cap Ciudad Quetzal ,20311015
DMS Cap San Jose La Comunidad,20310810
DMS Carcha,220160952
DMS Casillas,209604103
DMS Centro America ,27810138
DMS Chacte,2661709332
DMS Chahal,220161457
DMS Chajul,2831405318
DMS Chiantla,2161302261
DMS Chicaman,2171419312
DMS Chiche,2171402295
DMS Chichicastenango,2171406298
DMS Chimaltenango,207401136
DMS Chinautla,2021065
DMS Chinique,2171403296
DMS Chiquimula,224200189
DMS Chiquimulilla,209608107
DMS Chisec,220161356
DMS Chupol,2171406299
DMS Ciudad Pedro De Alvarado,2262214127
DMS Ciudad Peronia,20411522
DMS Ciudad Real,20411520
DMS Clinica Periferica Primero De Julio,20310813
DMS Coatepeque,212920207
DMS Coban,220160142
DMS Coban ,220160141
DMS Colomba Costa Cuca,212917204
DMS Colotenango,2161319276
DMS Comapa,2262211124
DMS Comitancillo,2151204233
DMS Concepcion Chiquirichapa,212911199
DMS Concepcion Huista,2161322279
DMS Concepcion Las Minas,224200896
DMS Concepcion Tutuapa,2151206235
DMS Conguaco,2262213126
DMS Cotzal,2831411319
DMS Cs Caballo Blanco,2141101220
DMS Cs Champerico,2141107227
DMS Cs Chuarrancho,20311218
DMS Cs Ciudad Satelite,20310812
DMS Cs El Asintal,2141109229
DMS Cs El Milagro,20310811
DMS Cs La Maquina Ii,2141106225
DMS Cs San Pedro Sacatepequez,20310914
DMS Cuilapa,209601100
DMS Cuilco,2161304263
DMS Cunen,2171410303
DMS Dolores,2661708331
DMS El Adelanto,2262209123
DMS El Chal,2661714335
DMS El Estor,222180374
DMS El Naranjo,2651311293
